Date,Time,Hour of the day:,Part of Body,Side,Number of Times,Type,Location,Note
Feb 12,15:14 ,15,Hand,Right,1,N/A,School,
Feb 12,15:32 ,15,Hand,Left,1,N/A,School,
Feb 12,15:33 ,15,Hand,Right,1,N/A,School,
Feb 12,15:45 ,15,Hand,Right,1,N/A,School,
Feb 12,15:55 ,15,Hand,Right,1,N/A,School,
Feb 12,15:56 ,15,Hand,Right,1,N/A,School,
Feb 12,16:01 ,16,Hand,Right,1,N/A,School,
Feb 12,16:02 ,16,Hand,Left,2,N/A,School,
Feb 12,16:28 ,16,Hand,Right,1,N/A,Commute,
Feb 12,18:39 ,18,Hand,Left,1,N/A,Gym,
Feb 12,18:52 ,18,Hand,Left,1,N/A,Commute,
Feb 12,18:55 ,18,Hand,Left,1,N/A,Commute,
Feb 12,18:56 ,18,Hand,Right,1,N/A,Commute,
Feb 12,19:01 ,19,Hand,Right,1,N/A,Commute,
Feb 12,19:24 ,19,Sleeve,Right,1,N/A,Home,
Feb 12,19:28 ,19,Hand,Right,2,N/A,Home,
Feb 12,19:48 ,19,Hand,Right,1,N/A,Home,
Feb 12,19:54 ,19,Hand,Right,1,N/A,Home,
Feb 12,19:55 ,19,Sleeve,Right,2,N/A,Home,
Feb 12,19:56 ,19,Sleeve,Left,1,N/A,Home,
Feb 12,19:56 ,19,Hand,Left,1,N/A,Home,
Feb 12,20:01 ,20,Hand,Right,2,N/A,Home,
Feb 12,20:12 ,20,Sleeve,Left,1,N/A,Home,
Feb 12,20:14 ,20,Hand,Right,1,N/A,Home,
Feb 12,20:18 ,20,Hand,Right,1,N/A,Home,
Feb 12,20:24 ,20,Hand,Right,1,N/A,Home,
Feb 12,20:26 ,20,Hand,Right,2,N/A,Home,
Feb 12,20:36 ,20,Hand,Right,1,N/A,Home,
Feb 12,21:11 ,21,Hand,Right,1,N/A,Home,
Feb 12,21:48 ,21,Hand,Right,1,N/A,Home,
Feb 12,21:52 ,21,Hand,Left,1,N/A,Home,
Feb 12,21:59 ,21,Shoulder,Right,1,N/A,Home,
Feb 12,22:28 ,22,Hand,Right,1,N/A,Home,
Feb 12,23:05 ,23,Hand,Right,2,N/A,Home,
Feb 13,7:58 ,7,Sleeve,Left,1,N/A,Home,
Feb 13,8:05 ,8,Sleeve,Left,1,N/A,Home,
Feb 13,8:17 ,8,Hand,Left,1,N/A,Home,
Feb 13,8:25 ,8,Hand,Right,1,N/A,Home,
Feb 13,8:40 ,8,Hand,Right,1,N/A,Home,
Feb 13,8:46 ,8,Hand,Left,1,N/A,Home,
Feb 13,8:55 ,8,Hand,Left,2,N/A,Home,
Feb 13,9:08 ,9,Sleeve,Right,1,N/A,Home,
Feb 13,9:23 ,9,Sleeve,Right,1,N/A,Home,
Feb 13,9:43 ,9,Hand,Right,1,N/A,Home,
Feb 13,10:11 ,10,Hand,Right,1,N/A,Home,
Feb 13,10:15 ,10,Hand,Left,1,N/A,Home,
Feb 13,10:26 ,10,Hand,Right,1,N/A,Home,
Feb 13,10:41 ,10,Hand,Right,1,N/A,Home,
Feb 13,10:51 ,10,Hand,Right,1,N/A,Home,
Feb 13,11:41 ,11,Hand,Left,1,N/A,Meal,
Feb 13,11:51 ,11,Hand,Left,1,N/A,Meal,
Feb 13,11:57 ,11,Sleeve,Left,1,N/A,Meal,
Feb 13,12:28 ,12,Hand,Right,1,N/A,Meal,
Feb 13,12:29 ,12,Hand,Right,2,N/A,Meal,
Feb 13,13:02 ,13,Sleeve,Right,1,N/A,Meal,
Feb 13,13:22 ,13,Hand,Right,1,N/A,School,
Feb 13,13:24 ,13,Sleeve,Right,1,N/A,School,
Feb 13,13:42 ,13,Sleeve,Right,1,N/A,School,
Feb 13,13:42 ,13,Sleeve,Left,1,N/A,School,
Feb 13,14:20 ,14,Hand,Right,1,N/A,School,
Feb 13,14:49 ,14,Hand,Right,1,N/A,School,
Feb 13,15:19 ,15,Glasses,N/A,1,N/A,School,
Feb 13,15:22 ,15,Hand,Left,1,N/A,School,
Feb 13,15:43 ,15,Whole Ass Arm,Right,1,N/A,School,"""whole ass right arm"""
Feb 13,15:48 ,15,Hand,Right,1,N/A,School,
Feb 13,16:18 ,16,Sleeve,Left,1,N/A,School,
Feb 13,16:28 ,16,Hand,Right,1,N/A,School,
Feb 13,16:55 ,16,Sleeve,Right,1,N/A,School,
Feb 13,17:13 ,17,Hand,Right,1,N/A,School,
Feb 13,17:23 ,17,Hand,Right,1,N/A,School,
Feb 13,18:32 ,18,Sleeve,Right,1,N/A,School,
Feb 13,18:54 ,18,Sleeve,Right,1,N/A,School,
Feb 13,19:52 ,19,Hand,Left,1,N/A,Home,
Feb 13,20:02 ,20,Hand,Right,1,N/A,Home,
Feb 13,20:25 ,20,Hand,Right,1,N/A,Home,
Feb 13,20:52 ,20,Hand,Left,1,N/A,Home,
Feb 13,20:56 ,20,Hand,Right,1,N/A,Home,
Feb 13,21:18 ,21,Hand,Left,1,N/A,Home,
Feb 13,21:48 ,21,Hand,Right,1,N/A,Home,
Feb 13,21:52 ,21,Hand,Right,1,N/A,Home,
Feb 13,22:30 ,22,Hand,Right,1,N/A,Home,
Feb 13,22:52 ,22,Hand,Right,1,N/A,Home,
Feb 13,23:05 ,23,Hand,Right,1,N/A,Home,
Feb 13,23:56 ,23,Hand,Right,1,N/A,Home,
Feb 14,0:24 ,0,Shoulder,Right,1,N/A,Home,
Feb 14,0:32 ,0,Hand,Right,1,N/A,Home,
Feb 14,8:47 ,8,Hand,Right,2,N/A,Home,
Feb 14,8:50 ,8,Hand,Left,1,N/A,Home,
Feb 14,8:51 ,8,Hand,Right,2,N/A,Home,
Feb 14,9:11 ,9,Hand,Right,1,N/A,Commute,
Feb 14,9:42 ,9,Shoulder,Right,1,N/A,Gym,
Feb 14,9:47 ,9,Hand,Right,1,N/A,Gym,
Feb 14,9:54 ,9,Hand,Right,1,N/A,Gym,
Feb 14,9:59 ,9,Hand,Right,1,N/A,Gym,
Feb 14,10:16 ,10,Hand,Left,1,N/A,Gym,
Feb 14,10:20 ,10,Hand,Right,1,N/A,Gym,
Feb 14,10:36 ,10,Hand,Right,1,N/A,Commute,
Feb 14,10:50 ,10,Hand,Right,1,N/A,Commute,
Feb 14,11:04 ,11,Hand,Right,1,N/A,Commute,
Feb 14,11:50 ,11,Hand,Right,1,N/A,Home,
Feb 14,11:58 ,11,Hand,Right,1,N/A,Home,
Feb 14,12:27 ,12,Hand,Right,1,N/A,Home,
Feb 14,12:35 ,12,Hand,Right,1,N/A,Home,
Feb 14,12:54 ,12,Hand,Right,1,N/A,Home,
Feb 14,12:55 ,12,Hand,Left,1,N/A,Home,
Feb 14,14:05 ,14,Hand,Right,1,N/A,Commute,
Feb 14,14:11 ,14,Hand,Left,1,N/A,Commute,
Feb 14,14:23 ,14,Hand,Left,1,N/A,Commute,
Feb 14,14:49 ,14,Hand,Right,1,N/A,Brother's apartment,
Feb 14,14:50 ,14,Sleeve,Right,1,N/A,Brother's apartment,
Feb 14,15:20 ,15,Hand,Right,1,N/A,Brother's apartment,
Feb 14,15:28 ,15,Hand,Right,1,N/A,Brother's apartment,
Feb 14,16:41 ,16,Hand,Right,1,N/A,Brother's apartment,
Feb 14,16:54 ,16,Hand,Right,1,N/A,Brother's apartment,
Feb 14,17:03 ,17,Hand,Right,1,N/A,Brother's apartment,
Feb 14,17:12 ,17,Hand,Right,1,N/A,Brother's apartment,
Feb 14,17:17 ,17,Hand,Right,1,N/A,Commute,also with my book
Feb 14,17:26 ,17,Hand,Right,1,N/A,Commute,
Feb 14,17:48 ,17,Sleeve,Left,1,N/A,Commute,
Feb 14,19:10 ,19,Hand,Right,1,N/A,Home,
Feb 14,19:24 ,19,Hand,Right,3,N/A,Home,
Feb 14,19:32 ,19,Hand,Right,1,N/A,Home,
Feb 14,19:34 ,19,Hand,Right,1,N/A,Home,
Feb 14,20:00 ,20,Hand,Right,2,N/A,Home,
Feb 14,20:14 ,20,Hand,Right,1,N/A,Home,
Feb 14,21:47 ,21,Hand,Right,2,N/A,Home,
Feb 14,21:54 ,21,Hand,Right,1,N/A,Home,
Feb 14,22:18 ,22,Hand,Right,1,N/A,Home,
Feb 14,22:20 ,22,Hand,Right,1,N/A,Home,
Feb 15,8:04 ,8,Hand,Right,1,N/A,Home,
Feb 15,8:08 ,8,Hand,Right,1,N/A,Home,
Feb 15,8:11 ,8,Hand,Right,1,N/A,Home,
Feb 15,8:17 ,8,Hand,Right,1,N/A,Home,
Feb 15,8:24 ,8,Hand,Right,1,N/A,Home,
Feb 15,8:30 ,8,Hand,Right,1,N/A,Home,
Feb 15,8:34,8,Hand,Right,1,N/A,Home,
Feb 15,8:47,8,Hand,Right,1,N/A,Home,
Feb 15,9:58,9,Hand,Right,1,N/A,Home,
Feb 15,10:10,10,Hand,Right,1,N/A,Home,
Feb 15,10:20,10,Hand,Right,2,N/A,Home,
Feb 15,10:27,10,Hand,Right,1,N/A,Home,
Feb 15,10:27,10,Hand,Left,1,N/A,Home,
Feb 15,10:28,10,Hand,Right,1,N/A,Home,
Feb 15,10:29,10,Hand,Right,1,N/A,Home,
Feb 15,10:56,10,Hand,Right,1,N/A,Home,
Feb 15,11:16,11,Hand,Right,1,N/A,Home,
Feb 15,11:31,11,Sleeve,Right,1,N/A,Home,
Feb 15,11:32,11,Hand,Right,1,N/A,Home,
Feb 15,11:32,11,Hand,Left,1,N/A,Home,
Feb 15,11:43,11,Hand,Right,1,N/A,Home,
Feb 15,12:00,12,Hand,Left,1,N/A,Home,
Feb 15,13:11,13,Hand,Right,1,N/A,Home,
Feb 15,13:14,13,Hand,Right,1,N/A,Home,
Feb 15,13:15,13,Hand,Right,1,N/A,Home,
Feb 15,13:31,13,Hand,Right,1,N/A,Commute,
Feb 15,14:15,14,Hand,Right,1,N/A,School,
Feb 15,14:15,14,Hand,Right,1,N/A,School,
Feb 15,14:20,14,Hand,Left,1,N/A,School,
Feb 15,14:42,14,Hand,Right,1,N/A,School,
Feb 15,14:45,14,Hand,Right,1,N/A,School,
Feb 15,14:56,14,Sleeve,Right,1,N/A,School,
Feb 15,15:12,15,Hand,Right,1,N/A,School,
Feb 15,15:29,15,Hand,Left,1,N/A,School,
Feb 15,15:56,15,Sleeve,Right,2,N/A,School,
Feb 15,16:06,16,Hand,Right,1,N/A,School,
Feb 15,16:09,16,Hand,Right,1,N/A,School,
Feb 15,16:32,16,Hand,Left,1,N/A,School,
Feb 15,16:33,16,Hand,Left,1,N/A,School,
Feb 15,16:38,16,Hand,Right,1,N/A,School,
Feb 15,17:04,17,Hand,Left,2,N/A,School,
Feb 15,17:27,17,Hand,Right,1,Scracth,School,
Feb 15,17:34,17,Hand,Right,3,Pinch,School,
Feb 15,17:34,17,Hand,Right,1,Flick,School,
Feb 15,17:55,17,Hand,Right,1,Scracth,Commute,
Feb 15,17:58,17,Hand,Right,1,Pinch,Commute,
Feb 15,18:08,18,Hand,Right,1,Pinch,Commute,
Feb 15,18:39,18,Hand,Right,2,Brush,Commute,
Feb 15,21:58,21,Sleeve,Right,1,Brush,Party,
Feb 15,22:36,22,Sleeve,Right,1,Pinch,Party,
Feb 15,22:40,22,Sleeve,Left,1,Pinch,Party,
Feb 15,22:41,22,Hand,Left,1,Pinch,Party,
Feb 15,22:49,22,Hand,Left,1,Brush,Party,
Feb 15,23:08,23,Hand,Right,1,Pinch,Party,
Feb 15,23:21,23,Hand,Right,1,Scracth,Party,
Feb 15,23:45,23,Hand,Right,1,Flick,Party,
Feb 15,23:48,23,Hand,Left,1,Scracth,Commute,
Feb 15,23:52,23,Hand,Left,1,Flick,Commute,
Feb 16,9:26,9,Hand,Right,1,Flick,Home,
Feb 16,9:44,9,Hand,Right,1,Flick,Home,
Feb 16,9:53,9,Hand,Left,1,Flick,Home,
Feb 16,10:02,10,Hand,Right,1,Flick,Home,
Feb 16,10:29,10,Hand,Right,3,Brush,Commute,
Feb 16,10:33,10,Hand,Right,1,Brush,Commute,
Feb 16,10:34,10,Hand,Right,1,Brush,Commute,
Feb 16,10:50,10,Hand,Left,1,Brush,Commute,
Feb 16,10:56,10,Hand,Right,1,Brush,Gym,
Feb 16,11:20,11,Shoulder,Right,1,Brush,Gym,
Feb 16,11:33,11,Shoulder,Right,1,Brush,Gym,
Feb 16,11:35,11,Hand,Right,1,Scracth,Gym,
Feb 16,11:36,11,Hand,Left,1,Scracth,Gym,
Feb 16,12:39,12,Hand,Right,1,Pinch,Gym,
Feb 16,13:09,13,Hand,Right,2,Pinch,Meal,
Feb 16,13:15,13,Hand,Right,1,Brush,Meal,
Feb 16,14:44,14,Hand,Right,1,Pinch,Meal,
Feb 16,14:59,14,Hand,Right,2,Pinch,Commute,
Feb 16,15:00,15,Hand,Right,1,Scracth,Commute,
Feb 16,15:01,15,Hand,Right,1,Scracth,Commute,
Feb 16,15:05,15,Hand,Right,1,Touch,Commute,
Feb 16,15:51,15,Tongue,N/A,1,Scracth,Commute,
Feb 16,15:52,15,Hand,Right,1,Scracth,Commute,
Feb 16,16:15,16,Hand,Left,1,Pinch,Home,
Feb 16,16:21,16,Hand,Left,1,Scracth,Home,
Feb 16,16:22,16,Hand,Left,1,Scracth,Home,
Feb 16,16:34,16,Hand,Right,1,Scracth,Home,
Feb 16,16:36,16,Hand,Right,1,Scracth,Home,
Feb 16,16:37,16,Hand,Right,1,Scracth,Home,
Feb 16,16:43,16,Hand,Right,1,Pinch,Home,
Feb 16,17:20,17,Hand,Right,1,Scracth,Home,
Feb 16,17:23,17,Hand,Right,1,Scracth,Home,
Feb 16,17:36,17,Hand,Right,1,Scracth,Home,
Feb 16,17:52,17,Hand,Left,1,Scracth,Home,
Feb 16,17:53,17,Hand,Left,1,Scracth,Home,
Feb 16,18:04,18,Hand,Right,2,Scracth,Home,
Feb 16,20:30,20,Hand,Right,1,Scracth,Home,
Feb 16,20:52,20,Fork,Right,1,Scracth,Home,
Feb 16,21:15,21,Hand,Right,1,Pinch,Home,
Feb 16,21:29,21,Hand,Right,1,Scracth,Home,
Feb 16,21:39,21,Hand,Left,1,Scracth,Home,
Feb 16,21:47,21,Hand,Left,1,Scracth,Home,
Feb 16,21:49,21,Hand,Left,1,Scracth,Home,
Feb 16,22:15,22,Hand,Left,1,Scracth,Home,
Feb 16,22:24,22,Hand,Right,1,Scracth,Home,
Feb 16,22:29,22,Hand,Left,1,Scracth,Home,
Feb 16,22:34,22,Hand,Left,1,Scracth,Home,
Feb 17,0:30,0,Hand,Right,1,Pinch,Home,
Feb 17,9:09,9,Hand,Right,1,Pinch,Home,
Feb 17,9:10,9,Hand,Right,1,Pinch,Home,
Feb 17,9:15,9,Hand,Left,1,Pinch,Home,
Feb 17,9:21,9,Hand,Left,1,Scracth,Home,
Feb 17,9:22,9,Hand,Left,1,Scracth,Home,
Feb 17,9:33,9,Hand,Right,1,Pinch,Home,
Feb 17,9:45,9,Hand,Right,1,Scracth,Home,
Feb 17,9:54,9,Hand,Right,1,Scracth,Home,
Feb 17,10:31,10,Hand,Left,1,Scracth,Home,
Feb 17,10:45,10,Hand,Right,1,Scracth,Commute,
Feb 17,11:09,11,Hand,Left,1,Scracth,School,
Feb 17,11:49,11,Hand,Left,1,Scracth,School,
Feb 17,12:14,12,Hand,Left,1,Scracth,School,
Feb 17,12:17,12,Hand,Left,1,Scracth,School,
Feb 17,12:35,12,Hand,Right,1,Scracth,School,
Feb 17,12:50,12,Hand,Left,1,Scracth,School,
Feb 17,13:12,13,Hand,Right,1,Pinch,School,
Feb 17,13:29,13,Hand,Right,1,Scracth,School,
Feb 17,13:57,13,Hand,Right,1,Pinch,School,
Feb 17,14:13,14,Hand,Right,1,Pinch,School,
Feb 17,14:56,14,Hand,Right,1,Pinch,School,
Feb 17,16:02,16,Hand,Right,1,Flick,School,
Feb 17,16:22,16,Hand,Right,1,Flick,School,
Feb 17,16:24,16,Hand,Right,1,Pinch,School,
Feb 17,16:43,16,Hand,Left,1,Pinch,School,
Feb 17,16:44,16,Hand,Right,2,Pinch,School,
Feb 17,17:05,17,Hand,Right,1,Pinch,School,
Feb 17,17:41,17,Hand,Right,1,Pinch,School,
Feb 17,17:42,17,Hand,Right,1,Pinch,School,
Feb 17,18:06,18,Hand,Left,1,Brush,Commute,
Feb 17,18:11,18,Hand,Right,1,Brush,Meal,
Feb 17,18:22,18,Hand,Left,1,Brush,Commute,
Feb 17,18:48,18,Hand,Right,1,Scracth,School,
Feb 17,18:53,18,Hand,Left,1,Scracth,School,
Feb 17,19:58,19,Hand,Right,1,Pinch,School,
Feb 17,20:27,20,Hand,Right,1,Scracth,School,
Feb 17,21:00,21,Hand,Right,1,Scracth,Commute,
Feb 17,21:08,21,Hand,Right,1,Scracth,Commute,
Feb 17,21:39,21,Hand,Right,2,Scracth,Home,
Feb 17,21:48,21,Hand,Left,1,Scracth,Home,
Feb 17,21:52,21,Hand,Right,1,Scracth,Home,
Feb 17,22:09,22,Hand,Right,1,Scracth,Home,
Feb 17,23:10,23,Hand,Right,1,Scracth,Home,
Feb 17,23:11,23,Hand,Right,1,Scracth,Home,
Feb 18,9:57,9,Hand,Left,2,Scracth,Home,
Feb 18,10:03,10,Hand,Left,1,Scracth,Home,
Feb 18,10:13,10,Hand,Left,1,Scracth,Home,
Feb 18,10:33,10,Hand,Left,1,Pinch,Home,
Feb 18,10:48,10,Hand,Right,1,Pinch,Home,
Feb 18,10:49,10,Hand,Right,1,Scracth,Home,
Feb 18,10:50,10,Hand,Right,1,Scracth,Home,
Feb 18,10:33,10,Hand,Left,1,Scracth,Home,
Feb 18,11:06,11,Hand,Left,1,Scracth,Home,
Feb 18,11:22,11,Hand,Right,1,Scracth,Home,
Feb 18,11:34,11,Hand,Right,1,Scracth,Home,
Feb 18,11:41,11,Hand,Right,1,Scracth,Home,
Feb 18,11:50,11,Hand,Right,1,Scracth,Home,
Feb 18,12:01,12,Hand,Right,1,Scracth,Home,
Feb 18,12:02,12,Hand,Right,1,Scracth,Home,
Feb 18,12:05,12,Hand,Right,1,Scracth,Home,
Feb 18,13:25,13,Hand,Right,1,Scracth,Commute,
Feb 18,13:31,13,Hand,Left,1,Scracth,Commute,
Feb 18,13:37,13,Sleeve,Left,1,Pinch,Commute,
Feb 18,13:51,13,Hand,Right,1,Brush,Meal,
Feb 18,15:06,15,Hand,Right,1,Brush,Commute,
Feb 18,15:13,15,Hand,Left,1,Scracth,Commute,
Feb 18,15:36,15,Hand,Right,1,Scracth,School,
Feb 18,15:39,15,Hand,Right,1,Pinch,School,
Feb 18,15:40,15,Hand,Right,1,Scracth,School,
Feb 18,15:45,15,Hand,Right,1,Brush,School,
Feb 18,17:07,17,Hand,Right,2,Brush,School,
Feb 18,17:08,17,Hand,Left,2,Pinch,School,
Feb 18,17:13,17,Hand,Left,1,Pinch,School,
Feb 18,17:46,17,Hand,Left,1,Brush,School,
Feb 18,17:47,17,Hand,Right,1,Pinch,School,
Feb 18,17:53,17,Hand,Right,1,Pinch,School,
Feb 18,18:08,18,Hand,Right,1,Pinch,School,
Feb 18,18:16,18,Hand,Right,1,Brush,School,
Feb 18,18:28,18,Hand,Right,1,Scracth,School,
Feb 18,18:59,18,Hand,Right,2,Scracth,School,
Feb 18,18:59,18,Hand,Right,1,Pinch,School,
Feb 18,19:02,19,Hand,Right,1,Brush,School,
Feb 18,19:04,19,Hand,Right,1,Brush,School,
Feb 18,19:04,19,Hand,Left,1,Pinch,School,
Feb 18,19:08,19,Hand,Left,1,Pinch,School,
Feb 18,19:21,19,Hand,Right,2,Pinch,School,
Feb 18,20:31,20,Sleeve,Right,1,Brush,Meal,
Feb 18,20:47,20,Hand,Right,2,Pinch,Meal,
Feb 18,21:03,21,Hand,Right,1,Brush,Meal,
Feb 18,21:14,21,Hand,Right,1,Pinch,Meal,
Feb 18,21:16,21,Hand,Right,1,Pinch,Meal,
Feb 18,21:19,21,Hand,Right,1,Scracth,Meal,
Feb 18,21:21,21,Hand,Right,1,Scracth,Meal,
Feb 18,21:24,21,Hand,Right,1,Pinch,Meal,
Feb 18,21:27,21,Hand,Right,2,Pinch,Meal,
Feb 18,21:36,21,Hand,Right,2,Pinch,Meal,
Feb 18,21:40,21,Hand,Right,1,Scracth,Meal,
Feb 18,21:42,21,Hand,Right,1,Scracth,Meal,
Feb 18,21:45,21,Hand,Right,1,Scracth,Meal,
Feb 18,21:47,21,Hand,Right,2,Pinch,Meal,
Feb 18,21:49,21,Hand,Right,1,Pinch,Meal,
Feb 18,22:26,22,Hand,Right,1,Pinch,Home,
Feb 18,23:23,23,Hand,Right,1,Scracth,Home,
Feb 19,0:06,0,Hand,Right,1,Pinch,Home,
Feb 19,11:08,11,Hand,Right,1,Scracth,Home,
Feb 19,11:13,11,Shoulder,Right,1,Brush,Home,
Feb 19,11:24,11,Hand,Left,2,Pinch,Commute,
Feb 19,11:24,11,Hand,Left,1,Brush,Commute,
Feb 19,11:26,11,Hand,Left,2,Pinch,Commute,
Feb 19,11:30,11,Hand,Right,1,Scracth,Commute,
Feb 19,11:37,11,Hand,Right,1,Scracth,School,
Feb 19,11:39,11,Hand,Left,1,Scracth,School,
Feb 19,12:17,12,Hand,Right,1,Scracth,School,
Feb 19,12:21,12,Hand,Left,1,Scracth,School,
Feb 19,12:24,12,Hand,Right,1,Brush,School,
Feb 19,13:44,13,Hand,Right,2,Pinch,School,
Feb 19,13:46,13,Hand,Right,1,Scracth,School,
Feb 19,13:55,13,Hand,Right,1,Scracth,School,
Feb 19,13:58,13,Hand,Right,1,Brush,School,
Feb 19,14:20,14,Hand,Right,1,Scracth,School,
Feb 19,14:37,14,Hand,Right,1,Scracth,School,
Feb 19,14:45,14,Hand,Left,1,Scracth,School,
Feb 19,15:24,15,Hand,Left,1,Scracth,School,
Feb 19,15:26,15,Hand,Left,1,Pinch,School,
Feb 19,15:29,15,Hand,Left,1,Pinch,School,
Feb 19,15:51,15,Hand,Right,1,Scracth,School,
Feb 19,16:26,16,Hand,Left,1,Scracth,Commute,
Feb 19,16:33,16,Hand,Right,1,Scracth,Commute,
Feb 19,16:42,16,Hand,Right,1,Scracth,Commute,
Feb 19,17:24,17,Hand,Right,1,Scracth,Meal,
Feb 19,17:44,17,Hand,Right,1,Scracth,Meal,
Feb 19,17:50,17,Hand,Left,1,Scracth,Meal,
Feb 19,17:58,17,Hand,Left,1,Scracth,Meal,
