date,time,hour_of_the_day_,part_of_body,side,number_of_times,type,location,datetime
Feb 15,8:04 ,8,Hand,Right,1,,Home,2026-02-15 08:04:00
Feb 15,8:08 ,8,Hand,Right,1,,Home,2026-02-15 08:08:00
Feb 15,8:11 ,8,Hand,Right,1,,Home,2026-02-15 08:11:00
Feb 15,8:17 ,8,Hand,Right,1,,Home,2026-02-15 08:17:00
Feb 15,8:24 ,8,Hand,Right,1,,Home,2026-02-15 08:24:00
Feb 15,8:30 ,8,Hand,Right,1,,Home,2026-02-15 08:30:00
Feb 15,8:34,8,Hand,Right,1,,Home,2026-02-15 08:34:00
Feb 15,8:47,8,Hand,Right,1,,Home,2026-02-15 08:47:00
Feb 15,9:58,9,Hand,Right,1,,Home,2026-02-15 09:58:00
Feb 15,10:10,10,Hand,Right,1,,Home,2026-02-15 10:10:00
Feb 15,10:20,10,Hand,Right,2,,Home,2026-02-15 10:20:00
Feb 15,10:27,10,Hand,Right,1,,Home,2026-02-15 10:27:00
Feb 15,10:27,10,Hand,Left,1,,Home,2026-02-15 10:27:00
Feb 15,10:28,10,Hand,Right,1,,Home,2026-02-15 10:28:00
Feb 15,10:29,10,Hand,Right,1,,Home,2026-02-15 10:29:00
Feb 15,10:56,10,Hand,Right,1,,Home,2026-02-15 10:56:00
Feb 15,11:16,11,Hand,Right,1,,Home,2026-02-15 11:16:00
Feb 15,11:31,11,Sleeve,Right,1,,Home,2026-02-15 11:31:00
Feb 15,11:32,11,Hand,Right,1,,Home,2026-02-15 11:32:00
Feb 15,11:32,11,Hand,Left,1,,Home,2026-02-15 11:32:00
Feb 15,11:43,11,Hand,Right,1,,Home,2026-02-15 11:43:00
Feb 15,12:00,12,Hand,Left,1,,Home,2026-02-15 12:00:00
Feb 15,13:11,13,Hand,Right,1,,Home,2026-02-15 13:11:00
Feb 15,13:14,13,Hand,Right,1,,Home,2026-02-15 13:14:00
Feb 15,13:15,13,Hand,Right,1,,Home,2026-02-15 13:15:00
Feb 15,13:31,13,Hand,Right,1,,Commute,2026-02-15 13:31:00
Feb 15,14:15,14,Hand,Right,1,,School,2026-02-15 14:15:00
Feb 15,14:15,14,Hand,Right,1,,School,2026-02-15 14:15:00
Feb 15,14:20,14,Hand,Left,1,,School,2026-02-15 14:20:00
Feb 15,14:42,14,Hand,Right,1,,School,2026-02-15 14:42:00
Feb 15,14:45,14,Hand,Right,1,,School,2026-02-15 14:45:00
