Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
1921 Spr,China,"UK, Canada",C. K. Howard-Bury,"W, N & E sides",Did not Climb,,2,EVER-211-01
1922 Spr,China,"UK, Australia",Charles G. Bruce,N Col-N Face,"Illness, AMS",,7,EVER-221-01
1924 Spr,China,UK,Edward F. Norton,N Col-N Face (Norton to 8570m) / N Col-NE Ridge (Mallory to 8450m+),Accident,,4,EVER-241-01
1933 Spr,China,UK,Hugh Ruttledge,N Col-N Face,Route Difficulty,,,EVER-331-01
1934 Spr,China,UK,Maurice Wilson,N Col,Accident,,1,EVER-341-01
1935 Sum,China,"UK, New Zealand",Eric Shipton,N Col (recon to 7000m) / W side (recon),Bad Conditions,,,EVER-352-01
1936 Spr,China,UK,Hugh Ruttledge,N Col,Bad Weather,,,EVER-361-01
1938 Spr,China,UK,H. W. Tilman,E Rongbuk Glacier-N Col / Main Rongbuk Glacier-N Col-N Face,Bad Conditions,,,EVER-381-01
1947 Spr,China,Canada,Earl Denman,N Col,Bad Weather,,,EVER-471-01
1950 Aut,Nepal,"USA, UK",Charles Houston,Khumbu Glacier (recon),Did not Climb,,,EVER-503-01
1951 Spr,China,Denmark,Klavs Becker-Larsen,N Col,Lack of Supplies,,,EVER-511-01
1951 Aut,Nepal,"UK, New Zealand",Eric Shipton,Khumbu Glacier-Khumbu Icefall (recon),Route Difficulty,,,EVER-513-01
1952 Spr,Nepal,Switzerland,Edouard Wyss-Dunant,S Col-SE Ridge,"Illness, AMS",,,EVER-521-01
1952 Aut,Nepal,Switzerland,Gabriel Chevalley,S Col-SE Ridge,Bad Weather,,1,EVER-523-01
1952 Aut,China,USSR,Pavel Datschnolian,N Col-NE Ridge,Attempt Rumored,,,EVER-523-02
1953 Spr,Nepal,"UK, New Zealand",John Hunt,S Col-SE Ridge,Success,2,,EVER-531-01
1956 Spr,Nepal,Switzerland,Albert Eggler,S Col-SE Ridge,Success,4,,EVER-561-01
1958 Aut,China,"China, USSR","Xu Jing, Yevgeniy Beletski",N side (recon),Did not Climb,,,EVER-583-01
1960 Spr,Nepal,"India, Nepal",Gyan Singh,S Col,Bad Weather,,,EVER-601-01
1960 Spr,China,China,Shi Zhang-Chun,N Col-NE Ridge,Success,3,1,EVER-601-02
1962 Spr,Nepal,India,John Dias,S Col-SE Ridge,Bad Weather,,1,EVER-621-01
1962 Spr,Nepal,"USA, Switzerland",Woodrow Wilson Sayre,N Col-N Face,"Illness, AMS",,,EVER-621-02
1963 Spr,Nepal,"USA, UK",Norman Dyhrenfurth,S Col-SE Ridge / W Cwm-W Ridge-N Face (up); SE Ridge-S Col (down),Success,6,1,EVER-631-01
1964 Spr,China,China,Xu Jing,N Col-NE Ridge (training),Other,,1,EVER-641-01
1965 Spr,Nepal,India,M. S. Kohli,S Col-SE Ridge,Success,9,,EVER-651-01
1965 Spr,China,China,,"N side (attempt reported, not confirmed)",Attempt Rumored,,,EVER-651-02
1966 Spr,China,China,Xu Jing,"N Col (training, recon)",Accident,,1,EVER-661-01
1967 Spr,China,China,,N Col (research),Did not Climb,,,EVER-671-01
1967 Aut,China,China,,N Col (research),Did not Climb,,,EVER-673-01
1968 Spr,China,China,,"N side (attempt reported, not confirmed)",Attempt Rumored,,,EVER-681-01
1969 Spr,Nepal,Japan,Yoshihiro Fujita,SW Face (recon),Bad Weather,,,EVER-691-01
1969 Spr,China,China,,"N side (success reported, not confirmed)",Success (Claimed),,,EVER-691-02
1969 Aut,Nepal,Japan,Hideki Miyashita,SW Face (recon),Did not Climb,,,EVER-693-01
1969 Aut,Nepal,Japan,Yuichiro Miura,S Col (recon),Other,,1,EVER-693-02
1970 Spr,Nepal,Japan,Yuichiro Muira,S Col (skiing),Other,,6,EVER-701-01
1970 Spr,Nepal,Japan,Hiromi Ohtsuka,S Col-SE Ridge / SW Face (to 8050m),Success,4,2,EVER-701-02
1971 Spr,Nepal,"Switzerland, Australia, Austria, France, India, Italy, Japan, Norway, Poland, UK, USA, W Germany","Norman Dyhrenfurth, J. O. M. Roberts",W Cwm-W Ridge (to 7300m) / S Col (to 6900m) / SW Face (to 8380m),Bad Weather,,1,EVER-711-01
1971 Aut,Nepal,Argentina,Hector Cativa Tolosa,S Col-SE Ridge,Bad Weather,,,EVER-713-01
