,Date,Age,Expedition,Nationality,Cause of death,Location,Remains status,Refs
Alexander Mitchell Kellas,5-Jun-21,52,1921 British Mount Everest reconnaissance expedition,United Kingdom,Heart attack,En route to base camp near the Tibetan village of Kampa Dzong,"Recovered, buried near Kampa Dzong",[9][26]
Unknown porter,5-Jun-21,,1921 British Mount Everest reconnaissance expedition,,,En route to base camp near the Tibetan village of Kampa Dzong,,[10]
Dorje,7-Jun-22,,1922 British Mount Everest expedition,Nepal,Avalanche,Below North Col,,[9]
Lhakpa,7-Jun-22,,1922 British Mount Everest expedition,Nepal,Avalanche,Below North Col,,[9]
Norbu,7-Jun-22,,1922 British Mount Everest expedition,Nepal,Avalanche,Below North Col,,[9]
Pasang,7-Jun-22,,1922 British Mount Everest expedition,Nepal,Avalanche,Below North Col,,[9]
Pema,7-Jun-22,,1922 British Mount Everest expedition,Nepal,Avalanche,Below North Col,,[9]
Sange,7-Jun-22,,1922 British Mount Everest expedition,Nepal,Avalanche,Below North Col,,[9]
Temba,7-Jun-22,,1922 British Mount Everest expedition,Nepal,Avalanche,Below North Col,,[9]
Man Bahadur,13-May-24,,1924 British Mount Everest expedition,Nepal,Pneumonia,Above Rongbuk B.C.,,[9][27]
Lance-Naik Shamsherpun,17-May-24,,1924 British Mount Everest expedition,Nepal,Brain hemorrhage,Above Rongbuk B.C.,,[9][27]
Andrew Irvine,9-Jun-24,22,1924 British Mount Everest expedition,United Kingdom,Unknown,N.E. Ridge,Remains found (partial) in 2024,[9][28]
George Mallory,9-Jun-24,37,1924 British Mount Everest expedition,United Kingdom,Possible ice axe injury following a fall,N.E. Ridge,Remains found and buried in situ in 1999,[9][29]
Maurice Wilson,"May 31, 1934[note 2]",36,Solo Expedition,United Kingdom,"Possible exhaustion, exposure or starvation",East Rongbuk Glacier,Remains found in 1935,[30]
Dorje Mingma,31-Oct-52,,Swiss Expedition,Nepal,Falling ice,Lhotse Face,,[31]
Wang Ji,11-Apr-60,,Chinese Expedition Northern Slope,China,Mountain sickness,,,[32][33]
Shao Shi-Ching[note 3],29-Apr-60,,Chinese Expedition Northern Slope,China,,N.E. Ridge,,[32][33]
Nawang Tshering,28-Apr-62,,Chinese Expedition Northern Slope,Nepal,,Lhotse face,,[34]
Jake Breitenbach,23-Mar-63,27,Norman Dyhrenfurth's American Mount Everest Expedition,United States,Crushed under serac,Icefall,,[35][36][37]
Ma Gao-shu,1-May-66,,Chinese Everest Expedition,China,Fall,Icefall,,[33][38]
Phu Dorjee Sherpa,18-Oct-69,,Japanese Everest Expedition,Nepal,Fall into a crevasse,Icefall,,[39]
Kunga Norbu,5-Apr-70,,Japanese Skiing Expedition,Nepal,Avalanche,,,[40]
Nima Dorje,5-Apr-70,,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,,[40]
Mima Norbu,5-Apr-70,,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,,[40]
Pasang,5-Apr-70,,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,,[40]
Kami Tshering,5-Apr-70,,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,,[40]
Kyak Tsering,9-Apr-70,36,Japanese Skiing Expedition,Nepal,Crushed under serac,5525m,,[41]
Kiyoshi Narita,21-Apr-70,,Japanese Skiing Expedition,Japan,Heart attack,6150m,,[42]
Harsh Vardhan,18-Apr-71,31,International Expedition of 1971,India,Succumbed after falling and being suspended above a crevasse during a blizzard,6900m,,[38]
Tony Tighe,16-Nov-72,,Mt. Qomolangma expedition,Australia,Crushed under serac,Icefall,,[43][44]
Jangbu ,12-Oct-73,,,Nepal,Avalanche,S.W. Face,,[45]
GŽrard Devouassoux,9-Sep-74,34,1974 French Mount Everest expedition,France,Avalanche,6400m,,[46]
Pemba Dorje,9-Sep-74,,1974 French Mount Everest expedition,Nepal,Avalanche,6400m,,[46]
Lhakpa ,9-Sep-74,,1974 French Mount Everest expedition,Nepal,Avalanche,6400m,,[46]
Nawang Lutuk,9-Sep-74,,1974 French Mount Everest expedition,Nepal,Avalanche,6400m,,[46]
Nima Wangchu,9-Sep-74,,1974 French Mount Everest expedition,Nepal,Avalanche,6400m,,[46]
Sanu Wongal,9-Sep-74,,1974 French Mount Everest expedition,Nepal,Avalanche,6400m,,[46]
Wu Zhuong Yue[note 4],4-May-75,,,China,"Exhaustion, fall",8500m,,[47]
Mingma ; deaf-mute Sherpa porter,Aug-75,"""Young""",1975 British Mount Everest Southwest Face expedition,Nepal,Drowned,Below Base Camp,,[48]
Mick Burke,26-Sep-75,34,Bonington's 1975 Everest expedition,United Kingdom,Disappearance (likely accidental death during climb),Near Summit,,[49][50]
Terry Thompson,10-Apr-76,,British-Nepal Army Everest Expedition,United Kingdom,Fall into a crevasse,Camp II,,[38]
Dawa Nuru,18-Apr-78,,,Nepal,Fall into a crevasse,Icefall,,[38]
Shi Ming-ji,18-Apr-78,,Chinese Iranian Expedition,China,Fall into a crevasse,Icefall,,[38]
Ang Phu,16-May-79,,1979 Yugoslav West Ridge expedition,Nepal,Fall,Icefall,,[38]
Ray Genet,2-Oct-79,48,Gerhard Schmatz German Expedition or 1979 Swabian expedition,United States,Exposure or exhaustion,8400m S.E. Ridge,,[51]
