query,id,name,latitude,longitude,elevation,country_code,country,admin1,admin2,timezone,population
London,2643743,London,51.50853,-0.12574,25.0,GB,United Kingdom,England,Greater London,Europe/London,8961989
Tokyo,1850147,Tokyo,35.6895,139.69171,44.0,JP,Japan,Tokyo,,Asia/Tokyo,9733276
Moscow,524901,Moscow,55.75204,37.61781,155.0,RU,Russia,Moscow,,Europe/Moscow,10381222
Beijing,1816670,Beijing,39.9075,116.39723,49.0,CN,China,Beijing Municipality,Beijing,Asia/Shanghai,18960744
Sydney,2147714,Sydney,-33.86785,151.20732,58.0,AU,Australia,New South Wales,,Australia/Sydney,5557233
Cape Town,3369157,Cape Town,-33.92584,18.42322,25.0,ZA,South Africa,Western Cape,City of Cape Town,Africa/Johannesburg,4772846
Rio de Janeiro,3451190,Rio de Janeiro,-22.90642,-43.18223,12.0,BR,Brazil,Rio de Janeiro,Rio de Janeiro,America/Sao_Paulo,6747815
Lagos,2332459,Lagos,6.45407,3.39467,11.0,NG,Nigeria,Lagos,,Africa/Lagos,15388000
Berlin,2950159,Berlin,52.52437,13.41053,74.0,DE,Germany,State of Berlin,,Europe/Berlin,3426354
Madrid,3117735,Madrid,40.4165,-3.70256,665.0,ES,Spain,Madrid,Madrid,Europe/Madrid,3255944
Rome,3169070,Rome,41.89193,12.51133,20.0,IT,Italy,Lazio,Province of Rome,Europe/Rome,2318895
Istanbul,745044,Istanbul,41.01384,28.94966,39.0,TR,Republic of Türkiye,Istanbul,,Europe/Istanbul,15701602
Dubai,292223,Dubai,25.07725,55.30927,24.0,AE,United Arab Emirates,Dubai,,Asia/Dubai,3790000
Singapore,1880252,Singapore,1.28967,103.85007,23.0,SG,Singapore,,,Asia/Singapore,5638700
Paris,2988507,Paris,48.85341,2.3488,42.0,FR,France,Île-de-France Region,Paris Department,Europe/Paris,2138551
Casablanca,2553604,Casablanca,33.58831,-7.61138,27.0,MA,Morocco,Casablanca-Settat,Casablanca,Africa/Casablanca,3665954
Nairobi,184745,Nairobi,-1.28333,36.81667,1684.0,KE,Kenya,Nairobi County,,Africa/Nairobi,4397073
Buenos Aires,3435910,Buenos Aires,-34.61315,-58.37723,31.0,AR,Argentina,Buenos Aires F.D.,,America/Argentina/Buenos_Aires,2891082
Dakar,2253354,Dakar,14.6937,-17.44406,12.0,SN,Senegal,Dakar,,Africa/Dakar,2646503
Lima,3936456,Lima,-12.04318,-77.02824,152.0,PE,Peru,Lima Province,,America/Lima,7737002
Delhi,1273294,Delhi,28.65195,77.23149,227.0,IN,India,National Capital Territory of Delhi,,Asia/Kolkata,11034555
Bangkok,1609350,Bangkok,13.75398,100.50144,12.0,TH,Thailand,Bangkok,,Asia/Bangkok,5104476
Seoul,1835848,Seoul,37.566,126.9784,38.0,KR,South Korea,Seoul,,Asia/Seoul,10349312
Manila,1701668,Manila,14.6042,120.9822,13.0,PH,Philippines,National Capital Region,Capital District,Asia/Manila,1600000
Jakarta,1642911,Jakarta,-6.21462,106.84513,16.0,ID,Indonesia,Jakarta Special Capital Region,,Asia/Jakarta,8540121
Auckland,2193733,Auckland,-36.84853,174.76349,43.0,NZ,New Zealand,Auckland,Auckland,Pacific/Auckland,1547200
Warsaw,756135,Warsaw,52.22977,21.01178,113.0,PL,Poland,Mazovia,Warszawa,Europe/Warsaw,1702139
Cairo,360630,Cairo,30.06263,31.24967,23.0,EG,Egypt,Cairo Governorate,,Africa/Cairo,9606916
Baghdad,98182,Baghdad,33.34058,44.40088,41.0,IQ,Iraq,Baghdad,Al Rusafa,Asia/Baghdad,7216000
Kathmandu,1283240,Kathmandu,27.70169,85.3206,1317.0,NP,Nepal,Bagmati Province,Kathmandu,Asia/Kathmandu,1442271
