date,city,name,country,admin1,latitude,longitude,timezone,weather_code,temp_mean_c,apparent_temp_mean_c,rain_sum_mm,precipitation_hours,showers_sum_mm,snowfall_sum_cm,daylight_duration_s,sunshine_duration_s,wind_gusts_max_kmh,wind_speed_mean_kmh,wind_gusts_mean_kmh,dewpoint_mean_c,cloud_cover_mean_pct
2000-01-01,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,3.4843333,-1.0372623,0.0,0.0,0.0,0.0,33087.65,26325.254,40.32,16.1808,27.555,-0.34066668,64.166664
2000-01-02,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,53.0,8.640584,4.2960687,1.6000001,5.0,0.0,0.0,33133.77,27453.96,67.67999,22.735126,42.975002,5.738499,77.0
2000-01-03,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,61.0,2.580167,-1.8204656,9.2,11.0,0.0,0.0,33184.19,1688.6343,41.760002,17.152346,32.61,1.376,99.0
2000-01-04,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,73.0,-1.9365001,-8.108203,0.7,4.0,0.0,1.4000001,33238.793,20.826187,50.399998,22.58213,39.675,-6.207333,93.208336
2000-01-05,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,-4.2969174,-10.00124,0.0,0.0,0.0,0.0,33297.438,30649.176,42.839996,17.14729,30.464998,-9.421917,40.125
2000-01-06,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,0.0,-0.7781666,-6.535645,0.0,0.0,0.0,0.0,33360.004,32310.637,42.839996,19.986193,36.045002,-5.7260833,3.5416667
2000-01-07,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,-3.1573331,-8.651088,0.0,0.0,0.0,0.0,33426.37,30445.83,38.88,15.521275,28.574999,-9.83025,29.5
2000-01-08,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,51.0,2.5426667,-3.3001306,0.1,1.0,0.0,0.0,33496.402,30884.82,47.16,23.176792,41.07,-2.8427503,40.5
2000-01-09,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,53.0,3.7489164,0.5644252,5.4,13.0,0.0,0.0,33569.98,614.34375,28.08,10.859028,19.904999,3.0739164,100.0
2000-01-10,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,61.0,4.9655833,-0.39548182,5.0,9.0,0.0,0.0,33646.965,20443.572,63.36,24.335608,42.270004,1.71975,70.083336
2000-01-11,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,1.0530833,-5.58098,0.0,0.0,0.0,0.0,33727.246,21830.113,57.96,25.500645,45.885,-6.3781667,62.416668
2000-01-12,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,-0.35941657,-5.414889,0.0,0.0,0.0,0.0,33810.684,24974.213,39.239998,15.066154,26.474998,-5.8615,89.083336
2000-01-13,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,71.0,-1.8719168,-7.5821686,0.0,2.0,0.0,0.63,33897.16,30434.107,49.32,18.92458,35.010002,-6.9510837,69.708336
2000-01-14,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,-4.399,-9.744586,0.0,0.0,0.0,0.0,33986.547,18893.797,39.6,13.631098,23.639997,-11.503167,45.5
2000-01-15,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,1.05725,-4.6180406,0.0,0.0,0.0,0.0,34078.727,31140.312,39.239998,20.073252,35.729996,-4.9615,67.916664
2000-01-16,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,-1.04275,-7.4448757,0.0,0.0,0.0,0.0,34173.562,20043.72,54.719997,24.472916,43.260002,-5.896916,90.5
2000-01-17,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,73.0,-4.659416,-10.952809,0.0,7.0,0.0,1.3300002,34270.95,12519.073,45.719997,19.720884,36.420002,-12.476082,89.041664
2000-01-18,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,71.0,-2.5594165,-7.593281,0.0,0.0,0.0,0.07,34370.76,33777.25,38.519997,13.634727,24.510002,-7.6406665,21.291666
2000-01-19,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,73.0,-3.651083,-7.976162,0.0,9.0,0.0,4.5499997,34473.3,1793.4937,27.0,8.404526,15.585,-8.328166,78.416664
2000-01-20,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,73.0,-10.359416,-17.350214,0.0,4.0,0.0,0.77,34579.59,33989.227,54.719997,23.941412,41.219997,-14.073998,52.708332
2000-01-21,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,-15.228168,-20.936087,0.0,0.0,0.0,0.0,34689.5,34100.77,30.239998,13.181495,22.814999,-19.284418,28.208334
2000-01-22,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,73.0,-9.546916,-14.744945,0.0,10.0,0.0,2.3100002,34802.832,7200.0,29.88,12.852442,22.47,-12.055249,97.375
2000-01-23,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,-8.821917,-14.898961,0.0,0.0,0.0,0.0,34919.402,34333.94,40.68,18.64612,31.694996,-12.053165,47.041668
2000-01-24,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,-15.303169,-21.20814,0.0,0.0,0.0,0.0,35039.004,34455.184,29.519999,14.6854725,25.124998,-18.859417,17.625
2000-01-25,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,71.0,-8.45525,-14.961562,0.0,0.0,0.0,0.07,35161.453,26158.674,48.239998,21.148222,36.914997,-12.367749,75.166664
2000-01-26,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,-10.465667,-16.935019,0.0,0.0,0.0,0.0,35286.56,34706.016,41.399998,20.345665,34.304993,-13.686501,60.166668
2000-01-27,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,-7.4927497,-12.022155,0.0,0.0,0.0,0.0,35414.137,29866.744,26.64,8.495821,16.560001,-10.523999,76.208336
2000-01-28,Chicago,Chicago,United States,Illinois,41.85003,-87.65005,America/Chicago,3.0,-9.446916,-13.597529,0.0,0.0,0.0,0.0,35544.004,31091.744,15.119999,5.531801,11.669999,-11.403167,91.833336
